titre_publication,date_publication,lien_publication,id_organisme_publication,nom_officiel_organisme,soustitre_publication,collection_publication,id_publication
L'effet des conditions de travail sur la santé et le recours aux soins,2024-11-14,https://dares.travail-emploi.gouv.fr/publication/leffet-des-conditions-de-travail-sur-la-sante-et-le-recours-aux-soins,dares,Dares,"Diminution du bien-être psychologique, baisse de la santé perçue, limitations fonctionnelles… En cas d'une exposition professionnelle accrue aux risques physiques et psychosociaux, l’état de santé se détériore. Ce qui a aussi un impact sur les accidents du travail, les absences pour maladie et le présentéisme.",Document d'études N°277,dares_17
Comment mesurer le nombre de salariés rémunérés au Smic ?,2024-11-14,https://dares.travail-emploi.gouv.fr/publication/comment-mesurer-le-nombre-de-salaries-remuneres-au-smic,dares,Dares,"Mesurer le nombre de salariés percevant le salaire minimum interprofessionnel de croissance (Smic) nécessite de disposer de données permettant de décrire finement les différentes composantes de la rémunération, pour isoler la fraction de rémunération correspondant à l’assiette du Smic. Aucune source statistique ne permet de l’évaluer précisément, mais plusieurs sources permettent de s’en approcher.",Autres publications,dares_16
L’obligation d’emploi des travailleurs handicapés en 2023,2024-11-13,https://dares.travail-emploi.gouv.fr/publication/lobligation-demploi-des-travailleurs-handicapes-en-2023,dares,Dares,"En 2023, 674 400 travailleurs handicapés sont employés dans les 112 300 entreprises assujetties à l’obligation d’emploi des travailleurs handicapés (OETH).",Dares Résultats N°67,dares_15
Évolution des salaires de base dans le secteur privé : résultats provisoires du 3e trimestre 2024,2024-11-08,https://dares.travail-emploi.gouv.fr/publication/evolution-des-salaires-de-base-dans-le-secteur-prive-resultats-provisoires-du-T3-2024,dares,Dares,"L’indice du salaire mensuel de base (SMB) de l’ensemble des salariés progresse de 0,3 % au cours du 3e trimestre 2024. Sur un an, il augmente de 2,7 % après +2,9 % le trimestre précédent.",Dares Indicateurs N°66,dares_14
"Sous-traitance, CPF, Qualiopi : quels enjeux pour les organismes de formation depuis la réforme de 2018 ?",2024-11-07,https://dares.travail-emploi.gouv.fr/publication/sous-traitance-cpf-qualiopi-enjeux-organismes-ormation-depuis-reforme-2018,dares,Dares,"Publics, financements, contenus, recours à la sous-traitance, certification Qualiopi… Les premiers résultats de l'enquête Etof.",Autres publications,dares_13
Revue Travail et Emploi - Varia - N°172 (2024),2024-11-05,https://dares.travail-emploi.gouv.fr/publication/revue-travail-et-emploi-varia-ndeg172-2024,dares,Dares,,Revue Travail et Emploi N°172,dares_12
Le télétravail améliore-t-il les conditions de travail et de vie des salariés ?,2024-11-05,https://dares.travail-emploi.gouv.fr/publication/le-teletravail-ameliore-t-il-les-conditions-de-travail-et-de-vie-des-salaries,dares,Dares,"Les télétravailleurs ont davantage d’autonomie et travaillent de manière moins intense lorsqu’ils sont à distance plutôt que sur site. En revanche, le soutien qu’ils peuvent obtenir de leurs collègues ou supérieurs est réduit. C’est particulièrement le cas dans la fonction publique.",Dares Analyses N°65,dares_11
Comment évolue la pratique du télétravail depuis la crise sanitaire ?,2024-11-05,https://dares.travail-emploi.gouv.fr/publication/comment-evolue-la-pratique-du-teletravail-depuis-la-crise-sanitaire,dares,Dares,"Entre 2019 et 2023, la part des personnes salariées pratiquant le télétravail au moins occasionnellement passe de 9 % à 26 %.",Dares Analyses N°64,dares_10
L'organisation communautaire au sein du service public québécois. Trajectoire d’un groupe professionnel aux marges de l’État social (années 1970-2000),2024-11-05,https://dares.travail-emploi.gouv.fr/publication/lorganisation-communautaire-au-sein-du-service-public-quebecois-trajectoire-dun-groupe,dares,Dares,"Dans les années 1970, l'intégration de l'organisation communautaire au sein du réseau public québécois de santé et de services sociaux semble en contradiction avec son caractère contestataire. Progressivement, ce secteur a ajusté ses pratiques aux politiques néolibérales.",Revue Travail et Emploi,dares_9
Quelles causes aux ruptures des contrats d'apprentissage ?,2024-10-31,https://dares.travail-emploi.gouv.fr/publication/quelles-causes-aux-ruptures-des-contrats-dapprentissage,dares,Dares,36 % des apprentis commençant à la rentrée 2018 une formation de niveau CAP à bac+2 rompent un contrat au cours de la première année et demie de leur apprentissage.,Dares Analyses N°63,dares_8
Les demandeurs d'emploi inscrits à France Travail au 3e trimestre 2024,2024-10-25,https://dares.travail-emploi.gouv.fr/publication/les-demandeurs-demploi-inscrits-france-travail-au-3e-trimestre-2024,dares,Dares,"Au 3e trimestre 2024, on compte 5 400 600 demandeurs d'emploi inscrits à France Travail en catégories A, B, C en France (+0,2 % sur un trimestre).",Dares Indicateurs N°62,dares_7
Vers plus de parité dans les élections professionnelles ?,2024-10-24,https://dares.travail-emploi.gouv.fr/publication/vers-plus-de-parite-dans-les-elections-professionnelles,dares,Dares,Le nombre de femmes candidates aussi bien qu’élues lors des élections professionnelles est en hausse entre les cycles électoraux 2013-2016 et 2017-2020.,Dares Analyses N°61,dares_6
Quelle est la durée de travail des indépendants ?,2024-10-23,https://dares.travail-emploi.gouv.fr/publication/quelle-est-la-duree-de-travail-des-independants,dares,Dares,"En 2023, les indépendants travaillent en moyenne 1 971 heures, soit 422 heures de plus que les salariés, principalement du fait d’un nombre de jours travaillés dans l’année plus élevé.",Dares Analyses N°60,dares_5
Les embauches diminuent au 2e trimestre 2024,2024-10-17,https://dares.travail-emploi.gouv.fr/publication/les-embauches-diminuent-au-2e-trimestre-2024,dares,Dares,"Au 2e trimestre 2024, 6 317 000 contrats de travail sont signés dans le secteur privé (hors agriculture, intérim et particuliers employeurs) en France métropolitaine, soit 1,5 % de moins qu’au trimestre précédent (après +0,2 % au 1er trimestre 2024).",Dares Indicateurs N°59,dares_4
"Entrer, rester, sortir du marché du travail : les transitions au cours du cycle économique",2024-10-16,https://dares.travail-emploi.gouv.fr/publication/entrer-rester-sortir-du-marche-du-travail-les-transitions-au-cours-du-cycle-economique,dares,Dares,Les résultats présentés dans cette étude mettent en évidence les spécificités des comportements d’activité selon le genre et l’âge.,Document d'études N°276,dares_3
Expérimentation Territoires zéro chômeur de longue durée : note d'étape du comité scientifique,2024-10-10,https://dares.travail-emploi.gouv.fr/publication/experimentation-territoires-zero-chomeur-de-longue-duree-note-detape-du-comite,dares,Dares,"Cette note d’étape présente les principaux objectifs de l’expérimentation, les travaux en cours dans le cadre de sa deuxième évaluation puis les caractéristiques des territoires et des salariés de l’expérimentation.",Autres publications,dares_2
Bénéficiaires du RSA et inscription à France Travail : parcours sur une année,2024-10-09,https://dares.travail-emploi.gouv.fr/publication/beneficiaires-du-rsa-et-inscription-france-travail-parcours-sur-une-annee,dares,Dares,"Parmi les 2 millions de bénéficiaires du RSA (c’est-à-dire d’adultes membres d’un foyer percevant un montant non nul d’allocation à ce titre) en juin 2022, 59 % étaient inscrits à France Travail au moins une fois au cours des douze mois précédents.",Dares Focus N°58,dares_1
