titre_publication,date_publication,lien_publication,id_organisme_publication,nom_officiel_organisme,soustitre_publication,collection_publication,id_publication
La part des orientés parmi les bénéficiaires du RSA est stable en 2023,2024-12-19,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/241219_DATA_beneficiaires-du-rsa,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) met à disposition les données actualisées nationales et départementales issues de l’enquête annuelle auprès des collectivités territoriales sur l’orientation et l’accompagnement des bénéficiaires du RSA (OARSA). Cette édition porte sur les bénéficiaires du RSA fin 2023.",Communiqué de presse | Jeux de données,drees_11
"Malgré une forte hausse des cotisations, les organismes complémentaires sont globalement en déficit sur leur activité santé en 2023",2024-12-18,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/rapports/241218_RAPPORT_hausse-des-cotisations,drees,Drees,"La DREES publie le rapport annuel à destination du Parlement sur la situation financière des organismes complémentaires assurant une couverture santé. Ce rapport analyse les principaux aspects de l’activité d’assurance santé de ces organismes : cotisations collectées, prestations reversées, charges de gestion, rentabilité.",Publications | Rapports,drees_10
Vidéo : On déconstruit 3 idées reçues sur la redistribution,2024-12-18,https://www.drees.solidarites-sante.gouv.fr/infographie-video-actualites-article/241218_Video_3-idees-recues-sur-la-redistribution,drees,Drees,"Face aux idées reçues sur la redistribution et les prestations sociales, la DREES, en collaboration avec les équipes de Datagora, produit une courte vidéo explicative de 2 minutes !","Infographie, vidéo",drees_9
Minimum vieillesse : données 2023,2024-12-16,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/241216_DATA_minimum-vieillesse-donnees-2023,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) publie, en open data, une mise à jour des données sur le minimum vieillesse pour l’année 2023, ainsi que le profil des bénéficiaires par sexe, âge et statut matrimonial. Ces résultats seront analysés de façon plus détaillée dans l’édition 2025 du Panorama Les retraités et les retraites, à paraître à l’été 2025.",Communiqué de presse,drees_8
Les données sur l'allocation personnalisée d'autonomie (APA),2024-12-13,https://www.drees.solidarites-sante.gouv.fr/definitions-ressources-et-methodes/les-donnees-sur-lallocation-personnalisee-dautonomie-apa,drees,Drees,"Les personnes âgées de 60 ans ou plus confrontées à des situations de perte d’autonomie peuvent solliciter l’allocation personnalisée d’autonomie (APA), gérée par les départements, pour couvrir tout ou partie de leurs besoins.","Définitions, ressources et méthodes",drees_7
Les données sur l'aide sociale à l'hébergement (ASH),2024-12-13,https://www.drees.solidarites-sante.gouv.fr/definitions-ressources-et-methodes/les-donnees-sur-laide-sociale-lhebergement-ash,drees,Drees,"L’aide sociale à l'hébergement (ASH) est accordée par les départements aux personnes de plus de 65 ans (ou plus de 60 ans en cas d’inaptitude au travail), en perte d’autonomie ou en risque de perte d’autonomie, résidant en France et sous conditions de ressources.","Définitions, ressources et méthodes",drees_6
Les données statistiques sur les professionnels du social,2024-12-13,https://www.drees.solidarites-sante.gouv.fr/definitions-ressources-et-methodes/les-donnees-statistiques-sur-les-professionnels-du-social,drees,Drees,"La définition du travail social retenue pour l’application du code de l’action sociale et des familles est ainsi formulée (décret n° 2017-877 du 6 mai 2017) : le travail social « vise à permettre l'accès des personnes à l'ensemble des droits fondamentaux, à faciliter leur inclusion sociale et à exercer une pleine citoyenneté.","Définitions, ressources et méthodes",drees_5
"Arrêts maladie : au-delà des effets de la crise sanitaire, une accélération depuis 2019",2024-12-13,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/241211_ER_Arrets-Maladie,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) et la Caisse nationale de l’Assurance Maladie (CNAM) dressent un état des lieux des arrêts maladie indemnisés. Cette étude analyse l’évolution des arrêts maladie selon l’âge, le sexe et le secteur d’activité des salariés du privé et contractuels de la fonction publique entre 2010 et 2023.","Publications | Études et résultats
                                  | N°1321",drees_4
Passages aux urgences entre 2017 et 2023 : des dynamiques contrastées selon les départements,2024-12-12,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/241212_ER_passages-aux-urgences,drees,Drees,"La DREES publie une étude et de nouvelles données départementales sur l’évolution des passages aux urgences en France, entre 2017 et 2023. Elles mettent en lumière les dynamiques infra-annuelles contrastées des passages aux urgences. Pour la première fois, les données journalières des résumés de passages aux urgences (RPU) sont ajustées grâce à une méthodologie d’étalonnage-calage...","Publications | Études et résultats
                                  | N°1320",drees_3
Passages aux urgences entre 2017 et 2023 : des dynamiques contrastées selon les départements,2024-12-12,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/241212_Data_passages-aux-urgences-entre-2017-et-2023,drees,Drees,"La DREES publie des données journalières sur les passages aux urgences entre 2017 et 2023 dans chaque département. Pour la première fois, les données journalières des résumés de passages aux urgences (RPU) sont ajustées grâce à une méthodologie d’étalonnage-calage intégrant les données annuelles de la statistique annuelle des établissements (SAE) pour produire des séries temporelles...",Communiqué de presse | Jeux de données,drees_2
"Le nombre d’infirmières augmenterait fortement d’ici à 2050, mais moins que les besoins en soins de la population vieillissante",2024-12-05,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/241203_ER_Nombre-infirmieres,drees,Drees,"La DREES publie une étude sur les trajectoires possibles des effectifs d’infirmiers et d’infirmières en emploi. Elle s’appuie sur le nouveau modèle de projection développé par la DREES, qui mobilise des données issues du SNDS, de la base tous salariés (BTS) et du panel tous actifs de l’Insee et des enquêtes Écoles et Étudiants en formation aux professions de santé de la DREES.","Publications | Études et résultats
                                  | N°1319",drees_1
